Budget Items,Seller,Quantity,Unit Price,Taxes,Shipping,Projected Sale Expenses After Taxes & Shipping
Mechanical,,,,,,
"BESSEY CM40 Drop Forged, C-Clamp, 4 In",https://www.amazon.com/dp/B0006694IC?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,2,$6.56,0,$0,$6.56
500W CNC Air Cooled Spindle Motor ER11 ,https://www.amazon.com/RATTMMOTOR-Brushless-12000RPM-Controller-Switching/dp/B09X2Y63XQ,1,$142.30,$0.00,$0,$142.30
"uxcell 1/8-Inch x 2-Inch Dowel Pins, Heat Treated Alloy Steel for Extra Hardness, Bright Finish and Accurate Alignment 5pcs",https://www.amazon.com/dp/B09M838BMY?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,5,$9.99,$0.00,$0,$9.99
200MM Linear Rail 2PCS HGR15 Linear Guide Rail HGH15 Linear Slide Rail with 4PCS HGH15CA Carriage Slider Block CNC Kit,https://www.amazon.com/dp/B0C4DFQXX6?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,2,$36.99,$0.00,0,$73.98
ANWOK CNC Part Ball Screw SFU1204-250mm,https://www.amazon.com/dp/B09BR2MJ34?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,3,$31.02,$0.00,0,93.06
uxcell 2Pcs 10mm to 10mm Aluminum Alloy Shaft Coupling,https://www.amazon.com/dp/B0FN77JGHR?ref=ppx_yo2ov_dt_b_fed_asin_title,1,$7.37,$0.00,0,7.37
200mm SFU1605 Ball Screw Set,https://www.amazon.com/dp/B0BC2X4P85?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$37.99,$0.00,0,37.99
435Pcs M3/M4/M5/M6 Stainless Steel Self Tapping Screws,https://www.amazon.com/dp/B0FJRXZW1N?ref=ppx_yo2ov_dt_b_fed_asin_title,1,$9.99,$0.00,$0.00,9.99
"480PCS M4 Screws Assortment Kit, M4x6/8/12/16/20/30 mm",https://www.amazon.com/dp/B0FGV8F6G7?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$9.99,$0.00,$0.00,9.99
Bambu Lab PETG Basic,https://us.store.bambulab.com/products/petg-basic,2,$17.99,$0.00,$0.00,36
2Pcs 42mm Stepper Motor Mounting Bracket Alloy Steel,https://www.amazon.com/dp/B09372B2D1?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,2,$9.99,$0.00,$0.00,20
STEPPERONLINE NEMA 23 Stepper Motor,https://www.amazon.com/dp/B00Q6GIO5K?ref=ppx_yo2ov_dt_b_fed_asin_title,1,$7.87,$5.00,$0.00,12.87
uxcell 2Pcs 10mm to 10mm Aluminum Alloy Shaft Coupling,https://www.amazon.com/dp/B0FN77JGHR?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$8.19,$0.00,$0.00,8.19
Drill-Press Vise,https://www.mcmaster.com/products/52855a21/,1,$64.29,$0.00,$0.00,64.29
M2 Thread-Forming Screws,https://www.mcmaster.com/products/90380a325/,1,$8.61,$0.00,$0.00,8.61
M6x1mm 65mm Steel Socket Screws,https://www.mcmaster.com/catalog/91290A346,1,$18.55,$0.00,$0.00,18.55
M6x1mm 60mm Steel Socket Screws,https://www.mcmaster.com/catalog/91290A344,1,$13.22,$0.00,$0.00,13.22
M4x0.7mm 50mm Steel Socket Screws,https://www.mcmaster.com/catalog/91290A186,1,$15.85,$0.00,$0.00,15.85
M6x1mm 40mm Steel Socket Screws,https://www.mcmaster.com/catalog/91290A203,1,$4.90,$0.00,$0.00,4.9
M6x1mm Hex Nuts,https://www.mcmaster.com/catalog/90591A151,1,$3.42,$0.00,$0.00,3.42
M6 Screw Washers,https://www.mcmaster.com/catalog/90965A170,1,$7.90,$5.46,$9.73,23.09
M4x0.7 16mm Steel Socket Head Screw,https://www.mcmaster.com/catalog/91274A119,1,$5.40,$0.00,$0.00,5.4
M4x0.7mm 12mm Steel Socket Head Screw,https://www.mcmaster.com/catalog/91274A118,1,$5.28,$0.00,$0.00,5.28
Steel Square-Neck Carraige Bolt M12x1.75mm,https://www.mcmaster.com/catalog/97248A419,1,$10.82,$0.00,$0.00,10.82
M12x1.75 Steel Flange Nut,https://www.mcmaster.com/catalog/90374A217,1,$10.75,$1.13,$9.77,21.65
M6x1mm 35mm Steel Socket Screws,https://www.mcmaster.com/catalog/91290A202,3,$4.75,$28.23,$0.00,42.48
Heat-Set Inserts for M4x1mm,https://www.mcmaster.com/catalog/94459A150,1,$10.82,$0.00,$0.00,10.82
Black Oxide Washers M4,https://www.mcmaster.com/catalog/98269A430,1,$4.29,$0.00,$0.00,4.29
Heat-Set Inserts for M6x1mm,https://www.mcmaster.com/catalog/94459A776,2,$12.27,$21.42,$13.07,59.03
Subtotal:,,,,,,$779.99
Electrical,,,,,,
"Breadboard Starter Kit with Power Supply Module, 2PCS 830 Tie-Points + 2PCS 400 Mini Breadboard, 125pcs Jumper Wires, LED & 220Ω Resistors",https://www.amazon.com/dp/B0GSGPCY4J?ref=ppx_yo2ov_dt_b_fed_asin_title,1,$9.59,0,0,$9.59
0.96 Inch OLED Display Screen,https://www.amazon.com/gp/product/B0D2RMQQHR/ref=ox_sc_act_title_2?smid=A2WWHQ25ENKVJ1&th=1,3,$9.99,$0.00,$0,$9.99
HiLetgo DC 3-5V MAX6675 Module + K Type Thermocouple Temperature Sensor Thermocouple Sensor Set M6 Screw for Arduino,https://www.amazon.com/gp/product/B01HT871SO/ref=ox_sc_act_title_3?smid=A30QSGOJR8LMXA&th=1,1,$7.69,$0.00,$0.00,$7.69
URBEST Inlet Module Plug 5A Fuse Switch Male Power Socket w Switch Plug 10A 250V 3 Pin IEC320 C14 Connected Terminal Crimps and Wires,https://www.amazon.com/dp/B07M9DJG53?ref=ppx_yo2ov_dt_b_fed_asin_title,1,$8.99,0,$0,$8.99
DC 8-100V 0-100A LCD Display Digital Current Voltage Power Energy,https://www.amazon.com/gp/product/B013PKYILS/ref=ox_sc_act_title_7?smid=A2EFSDTWMPHWEA&psc=1,1,$16.19,,$0.00,$16.19
"25ft (7.6m) Computer Power Cord, NEMA 5-15P to C13, 10A 125V, 18AWG, Black Replacement AC Power Cord",https://www.amazon.com/dp/B005WKJR6G?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$14.99,0,$0.00,$14.99
3-Axis Digital Acceleration of Gravity Tilt Module with IIC SPI Transmission for Arduino,https://www.amazon.com/dp/B09S633YTW?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,3,$8.59,0,$0.00,$8.59
12 AWG Gauge Silicone Wire Electrical Cable,https://www.amazon.com/dp/B0C5QVHKFC?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$17.99,0,0,$17.99
22 AWG Stranded Wire Spool 10ft Each 6 Colors,https://www.amazon.com/dp/B089CQHRDT?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,1,$12.29,$0.00,0,$12.29
2pcs 22mm 2 NC Red Mushroom Emergency Stop Push Button Switch AC 660V 10A,https://www.amazon.com/dp/B07R8PTTDX?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,2,$11.99,$11.20,$0,$22.99
